run_timestamp,start_id,target,station,final_distance,completion_time,outcome
,A,soda_can,S1,0.043,144.58,SUCCESS
,B,soda_can,S1,0.043,169.92,SUCCESS
,C,soda_can,S1,,191.94,FAILED
20260916T031055Z,A,soda_can,S3,,100.00,TIMEOUT
20260916T031553Z,A,soda_can,S3,,100.00,TIMEOUT
20260916T031945Z,A,soda_can,S1,,100.00,TIMEOUT
20260916T032432Z,A,soda_can,S5,0.088,96.74,SUCCESS
20260916T033006Z,A,soda_can,S1,0.043,144.58,SUCCESS
20260916T034940Z,A,camera,S7,,181.41,FAILED
20260916T035350Z,B,backpack,S1,,170.53,FAILED
20260916T035726Z,C,wall_clock,S1,,192.03,FAILED
20260916T040112Z,A,wall_clock,S7,,181.41,FAILED
20260916T040451Z,A,soda_can,S2,0.068,26.85,SUCCESS
20260916T040826Z,A,running_shoe,S7,0.020,182.08,SUCCESS
20260916T041150Z,B,soda_can,S8,0.010,37.95,SUCCESS
20260916T041520Z,C,soda_can,S1,,192.03,FAILED
20260916T042810Z,A,soda_can,S1,0.043,144.58,SUCCESS
